row_id,file_name,file_name_with_detections,x_image,y_image,heading,possible_trees,additional_matches,matched_details,tree_index,tree_file_name,x_box,y_box,width_box,height_box,x_bottom,y_bottom,meters_to_tree,distance_to_tree,angle_to_tree,real_angle,x_distance,y_distance,x_tree_image,y_tree_image,tree_id,tree_name,name_eng,name_heb,type_1,type_2,type_3,x_tree,y_tree,best_angle_diff
78676,"tel aviv_heading=240.0&fov=64.0&location=32.0436785633627,34.76446854360642&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/4_segmented_tel aviv_heading=240.0&fov=64.0&location=32.0436785633627,34.76446854360642&source=outdoor.jpg",34.76446854360642,32.0436785633627,240.0,1,,,3,"2_tel aviv_heading=240.0&fov=64.0&location=32.0436785633627,34.76446854360642&source=outdoor.jpg",0.3260391652584076,0.3418244421482086,0.07987672090530396,0.07147693634033203,-0.1739608347415924,0.6224370896816254,177.2012629610147,0.001772012629610147,-15.614795687536724,4.0979470058618155,-0.0014479031509177082,-0.0010215699805008172,34.7630206404555,32.042656993382195,30620,אלה אטלנטית,200,34,עץ,,,34.76432980895829,32.04352330923786,6.250061755443738
59126,"tel aviv_heading=240.0&fov=64.0&location=32.06343028659006,34.76121533415397&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/6_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06343028659006,34.76121533415397&source=outdoor.jpg",34.76121533415397,32.06343028659006,240.0,2,,,6,"5_tel aviv_heading=240.0&fov=64.0&location=32.06343028659006,34.76121533415397&source=outdoor.jpg",0.004299651365727186,0.2894371449947357,0.008681639097630978,0.26013875007629395,-0.4957003486342728,0.5804934799671173,125.01191186370397,0.0012501191186370397,-40.49498189600773,3.9531999499127806,-0.0009068294912837945,-0.0008604987417305289,34.76030850466268,32.06256978784833,9370,וושינגטוניה חסונה,259,116,דקל,,,34.76095427966926,32.06300965525786,16.41170396313356
28957,"tel aviv_heading=240.0&fov=64.0&location=32.05516458137519,34.75485812484718&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/7_segmented_tel aviv_heading=240.0&fov=64.0&location=32.05516458137519,34.75485812484718&source=outdoor.jpg",34.75485812484718,32.05516458137519,240.0,14,,,1,"0_tel aviv_heading=240.0&fov=64.0&location=32.05516458137519,34.75485812484718&source=outdoor.jpg",0.12854842841625214,0.18110305070877075,0.2570452392101288,0.362630695104599,-0.37145157158374786,0.6375816017389297,200.9899035025407,0.002009899035025407,-30.224844975637517,4.012949184543144,-0.0015379806922657811,-0.001293951127830464,34.75332014415492,32.05387063024736,9649,וושינגטוניה חוטית,257,115,דקל,,,34.75477626994476,32.0550856576757,2.1455355730107613
37033,"tel aviv_heading=300.0&fov=64.0&location=32.04931990604883,34.75756114532604&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/2_segmented_tel aviv_heading=300.0&fov=64.0&location=32.04931990604883,34.75756114532604&source=outdoor.jpg",34.75756114532604,32.04931990604883,300.0,1,,,2,"1_tel aviv_heading=300.0&fov=64.0&location=32.04931990604883,34.75756114532604&source=outdoor.jpg",0.0927952453494072,0.3274509012699127,0.136489138007164,0.23671601712703705,-0.4072047546505928,0.5541910901665688,100.44716819609256,0.0010044716819609257,-36.30744822936063,5.024759584449746,-0.0009558630084574497,0.00030868959963705373,34.75660528231758,32.049628595648464,34234,סופורה אמריקאית,236,174,עץ קטן,,,34.75740183372016,32.04934051327864,310.7805781621213
96405,"tel aviv_heading=300.0&fov=64.0&location=32.05183728418099,34.76929834275037&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/1_segmented_tel aviv_heading=300.0&fov=64.0&location=32.05183728418099,34.76929834275037&source=outdoor.jpg",34.76929834275037,32.05183728418099,300.0,1,,,1,"0_tel aviv_heading=300.0&fov=64.0&location=32.05183728418099,34.76929834275037&source=outdoor.jpg",0.8685179352760315,0.25076523423194885,0.2616596817970276,0.5020721554756165,0.3685179352760315,0.4981986880302429,63.04824276997982,0.0006304824276997982,36.49036001080847,5.448280065125216,-0.00046733432394542595,0.0004232100203217109,34.768831008426424,32.05226049420131,28689,סיגלון עלי-מימוסה,163,178,עץ,,,34.76890732273446,32.05188332629287,310.7562454134876
88922,"tel aviv_heading=300.0&fov=64.0&location=32.03917417778669,34.76640130510332&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/5_segmented_tel aviv_heading=300.0&fov=64.0&location=32.03917417778669,34.76640130510332&source=outdoor.jpg",34.76640130510332,32.03917417778669,300.0,1,,,5,"4_tel aviv_heading=300.0&fov=64.0&location=32.03917417778669,34.76640130510332&source=outdoor.jpg",0.08710778504610062,0.2091825306415558,0.17333440482616425,0.3684294521808624,-0.4128922149538994,0.606602743268013,155.3343319957128,0.001553343319957128,-34.24168108459479,5.036777730534975,-0.0014723298281001337,0.0004950963006749936,34.764928975275225,32.039669274087366,32158,מיש - שונים,88,157,עץ,,,34.76613978631685,32.03931912093189,289.22252609845316
16733,"tel aviv_heading=240.0&fov=64.0&location=32.03272984230911,34.75255818895115&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/7_segmented_tel aviv_heading=240.0&fov=64.0&location=32.03272984230911,34.75255818895115&source=outdoor.jpg",34.75255818895115,32.03272984230911,240.0,2,,,5,"4_tel aviv_heading=240.0&fov=64.0&location=32.03272984230911,34.75255818895115&source=outdoor.jpg",0.8102307915687561,0.4189043939113617,0.12431185692548752,0.10402195900678635,0.3102307915687561,0.5290846265852451,81.51623528363243,0.0008151623528363243,30.385390730416237,4.365565242369967,-0.0007666252271007182,-0.0002770837827344364,34.75179156372405,32.032452758526375,36304,ברכיכיטון צפצפתי,70,83,עץ,,,34.7524057574798,32.0326224624416,7.285815687838863
48190,"tel aviv_heading=240.0&fov=64.0&location=32.05949113989935,34.76003553757259&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/7_segmented_tel aviv_heading=240.0&fov=64.0&location=32.05949113989935,34.76003553757259&source=outdoor.jpg",34.76003553757259,32.05949113989935,240.0,2,,,1,"0_tel aviv_heading=240.0&fov=64.0&location=32.05949113989935,34.76003553757259&source=outdoor.jpg",0.5511186122894287,0.3638714551925659,0.06589069217443466,0.20309121906757355,0.05111861228942871,0.5345829352736473,85.33083280576432,0.0008533083280576431,5.462206417042909,4.220568033586711,-0.000752169456336393,-0.0004029593176576827,34.75928336811626,32.05908818058169,9570,וושינגטוניה חסונה,259,116,דקל,,,34.75964627444137,32.05929366092712,15.348424122516604
7377,"tel aviv_heading=300.0&fov=64.0&location=32.03864743005694,34.74985610720911&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/9_segmented_tel aviv_heading=300.0&fov=64.0&location=32.03864743005694,34.74985610720911&source=outdoor.jpg",34.74985610720911,32.03864743005694,300.0,1,,,8,"7_tel aviv_heading=300.0&fov=64.0&location=32.03864743005694,34.74985610720911&source=outdoor.jpg",0.037847138941287994,0.35019034147262573,0.06476499885320663,0.07265708595514297,-0.462152861058712,0.6134811155498028,164.48057314382706,0.0016448057314382707,-36.99175965988724,5.020778421925838,-0.0015672097994393164,0.0004992387592260466,34.74828889740967,32.039146668816166,36847,מילה ירוקת-עד,152,155,עץ,,,34.74947788606415,32.038835979892,291.7554385818047
38205,"tel aviv_heading=0.0&fov=64.0&location=32.03492919943867,34.75779264577869&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/gsv_after_model/5_segmented_tel aviv_heading=0.0&fov=64.0&location=32.03492919943867,34.75779264577869&source=outdoor.jpg",34.75779264577869,32.03492919943867,0.0,0,,,5,"4_tel aviv_heading=0.0&fov=64.0&location=32.03492919943867,34.75779264577869&source=outdoor.jpg",0.2662471830844879,0.2570645213127136,0.5308013558387756,0.5136141777038574,-0.23375281691551208,0.48612838983535767,57.02571312967487,0.0005702571312967487,-25.68038116276018,-0.149402401485765,-8.488118736579664e-05,0.0005639045839733614,34.75770776459133,32.03549310402264,,,,,,,,,,
